x,y,label
-12.001833,-34.6295,3
-14.029153,-37.52414,3
-11.393104,-33.78352,3
-14.719466,-37.149124,3
-12.604127,-37.14935,3
-11.862399,-36.42575,3
-13.112613,-37.352783,3
-11.444436,-34.010426,3
-15.278702,-37.340508,3
-12.654573,-36.95712,3
-11.929256,-35.906,3
-15.078172,-38.028297,3
-12.342822,-35.54231,3
-11.435511,-33.887154,3
-14.473186,-36.59995,3
-12.467552,-36.712864,3
-13.36944,-36.0306,3
-15.177673,-37.409565,3
-13.240817,-37.370525,3
-11.613532,-34.961414,3
-13.702041,-35.899006,3
-15.23213,-37.28268,3
-12.059917,-35.240376,3
-13.065423,-36.939518,3
-12.7146845,-35.079224,3
-14.236876,-35.727398,3
-13.881363,-37.447617,3
-12.631726,-35.402206,3
-13.975855,-35.797913,3
-19.805162,14.990483,4
-18.787657,21.231194,4
-16.775959,20.549852,4
-19.558586,17.073872,4
-19.499296,14.177612,4
-19.71538,21.862879,4
-18.90188,22.072649,4
-16.843548,20.15488,4
-16.282084,16.37879,4
-16.219213,16.56459,4
-16.06038,16.651718,4
-19.46776,14.112067,4
-20.102228,20.32808,4
-18.457468,21.148846,4
-15.702121,16.124577,4
-16.725994,15.536701,4
-17.02183,16.164501,4
-19.796082,15.70275,4
-19.434273,22.174036,4
-17.89109,20.592005,4
-17.297634,15.776845,4
-19.564142,14.080533,4
-19.82507,15.574832,4
-19.840822,21.327198,4
-18.104486,20.744408,4
-16.876633,20.35898,4
-16.035055,16.17976,4
-16.777891,15.686289,4
-17.231285,16.525356,4
-19.795593,15.732874,4
18.490625,-27.470226,5
23.43069,-30.132063,5
16.929163,-29.481434,5
17.67187,-29.584824,5
18.081547,-29.52814,5
18.815968,-29.185915,5
21.19284,-28.70551,5
23.39697,-30.164349,5
22.819206,-30.18366,5
23.108137,-30.12597,5
22.572601,-29.926928,5
17.129137,-30.323187,5
17.166122,-30.167898,5
17.582611,-29.43455,5
18.008968,-29.390903,5
18.482378,-28.70572,5
18.197092,-29.396563,5
18.60683,-28.18864,5
19.043385,-29.488337,5
19.164034,-29.91246,5
18.88973,-29.606932,5
20.555681,-30.23078,5
20.990612,-30.276783,5
20.305752,-30.283163,5
19.569176,-30.194817,5
21.139101,-28.66985,5
21.123459,-28.552423,5
21.103474,-30.05606,5
21.159048,-30.184452,5
20.998598,-30.20678,5
2.5919287,-1.7035905,6
1.5109525,-3.603551,6
-0.050242126,2.6313398,6
1.3300507,-5.952968,6
1.5910944,-1.5921443,6
1.9200718,-4.1632442,6
1.0757728,-2.6014898,6
1.3475208,-3.9445536,6
1.0316732,-2.2797718,6
-0.734698,2.070029,6
1.8843105,-6.156092,6
1.5282416,-1.1714886,6
2.17356,-5.8830714,6
1.2613472,-2.5829232,6
-1.4265112,2.09124,6
1.6868048,-3.321493,6
-2.739588,1.7268147,6
1.353467,-2.0582623,6
2.0803974,-5.782577,6
0.22476731,1.2488772,6
